startup_name,sector,sub_vertical,city,investor,round_type,funding_usd,deal_date,deal_year,deal_month,sector_clean,round_clean,city_clean,sector_final,sector_clean_old
NimbusLabs,E-commerce,Grocery,Mumbai,A91 Partners,Seed,355000,2023-01-17,2023,1,Ecommerce/D2C,Seed/Angel,Mumbai,Ecommerce/D2C,Ecommerce/D2C
Razorpay,Retail,Fashion,Kolkata,Ventures India,Series A,4324000,2022-05-20,2022,5,Ecommerce/D2C,Series A,Kolkata,Ecommerce/D2C,Ecommerce/D2C
LogiMart,FinTech,InsurTech,Hyderabad,Info Edge,Seed,525000,2024-07-30,2024,7,Fintech,Seed/Angel,Hyderabad,Fintech,Fintech
Housejoy,Retail,E-Retail,Gurugram,"Kedaara Capital, Ribbit Capital, Y Combinator",Series C,142883000,2023-04-19,2023,4,Ecommerce/D2C,Series C,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
Dream11,AgriTech,Supply Chain,Gurugram,A91 Partners,Series C,281010000,2024-07-07,2024,7,Agritech,Series C,Delhi/NCR,Agritech,Agritech
QuantumSolutions,HealthTech,Pharmacy,Hyderabad,"Prosus Ventures, Tiger Global Management",Seed,336000,2021-07-01,2021,7,Healthtech,Seed/Angel,Hyderabad,Healthtech,Healthtech
Wakefit,HealthTech,Health Analytics,Bengaluru,"IFC, Matrix Partners India, Nexus Venture Partners",Debt,744000,2024-11-10,2024,11,Healthtech,Debt,Bengaluru,Healthtech,Healthtech
AgriSense,Retail,Fashion,Chennai,"Info Edge, Kalaari Capital, Matrix Partners India",Series A,8614000,2023-03-28,2023,3,Ecommerce/D2C,Series A,Chennai,Ecommerce/D2C,Ecommerce/D2C
Bounce,FoodTech,Grocery,Hyderabad,Info Edge,Series B,10595000,2024-12-01,2024,12,Foodtech,Series B,Hyderabad,Foodtech,Foodtech
Myntra,SaaS,B2B SaaS,Mumbai,"Prosus Ventures, Tiger Global, Y Combinator",Series B,16887000,2022-07-27,2022,7,SaaS/Enterprise,Series B,Mumbai,SaaS/Enterprise,SaaS/Enterprise
AutoMart,FoodTech,Cloud Kitchen,Kolkata,SoftBank Vision Fund,Seed,67000,2024-08-23,2024,8,Foodtech,Seed/Angel,Kolkata,Foodtech,Foodtech
LogiSense,Consumer Electronics,Wearables,Bengaluru,"Peak XV, Sequoia Capital India",Pre-Seed,21000,2023-07-06,2023,7,Other,Seed/Angel,Bengaluru,Other,Other
NextSense,FinTech,InsurTech,Gurugram,IFC,Debt,39642000,2025-02-05,2025,2,Fintech,Debt,Delhi/NCR,Fintech,Fintech
Oyo,HealthTech,Pharmacy,Mumbai,Y Combinator,Series B,50768000,2021-05-27,2021,5,Healthtech,Series B,Mumbai,Healthtech,Healthtech
Dream11,FinTech,InsurTech,Hyderabad,Info Edge,Series B,34436000,2024-03-26,2024,3,Fintech,Series B,Hyderabad,Fintech,Fintech
Bounce,Media,Social,Bengaluru,Omidyar Network,Seed,226000,2020-06-08,2020,6,Other,Seed/Angel,Bengaluru,Other,Other
Ola,FinTech,Payments,Pune,"Kedaara Capital, Mirae Asset",Series C,31977000,2024-10-27,2024,10,Fintech,Series C,Pune,Fintech,Fintech
HomeFoods,Media,Social,Mumbai,Nexus Venture Partners,Seed,89000,2024-12-09,2024,12,FoodTech,Seed/Angel,Mumbai,FoodTech,Other
HyperSpace,RealEstate,PropTech,Mumbai,"Info Edge, Ribbit Capital",Series A,1969000,2020-01-18,2020,1,Proptech,Series A,Mumbai,Proptech,Proptech
Meesho,RealEstate,Rental Tech,Delhi,"Info Edge, LCatterton, Lightspeed India",Angel,26000,2023-06-15,2023,6,Proptech,Seed/Angel,Delhi/NCR,Proptech,Proptech
FinSense,AgriTech,Marketplace,Chennai,Bessemer Venture Partners,Pre-Series A,518000,2022-05-29,2022,5,Agritech,Seed/Angel,Chennai,Agritech,Agritech
LogiMart,E-commerce,Marketplace,Noida,"Elevation Capital, Peak XV",Series A,5977000,2024-01-16,2024,1,Ecommerce/D2C,Series A,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
GrowthFlow,RealEstate,Home Services,Gurugram,Ventures India,Series A,2134000,2022-11-09,2022,11,Proptech,Series A,Delhi/NCR,Proptech,Proptech
Urban Company,RealEstate,PropTech,Gurugram,Mirae Asset,Series A,13274000,2020-08-18,2020,8,Proptech,Series A,Delhi/NCR,Proptech,Proptech
Groww,Mobility,Ride Sharing,Pune,"A91 Partners, IFC",Angel,46000,2020-09-27,2020,9,EV/Cleantech,Seed/Angel,Pune,EV/Cleantech,EV/Cleantech
Mobikwik,Mobility,Micro Mobility,Delhi,Sequoia Capital India,Series C,89743000,2025-05-08,2025,5,EV/Cleantech,Series C,Delhi/NCR,EV/Cleantech,EV/Cleantech
CRED,FinTech,WealthTech,Gurugram,"Falcon Edge, Ribbit Capital",Pre-Seed,82000,2020-05-03,2020,5,Fintech,Seed/Angel,Delhi/NCR,Fintech,Fintech
AeroAnalytics,FoodTech,Grocery,Chennai,"Elevation Capital, Ribbit Capital",Seed,235000,2023-01-03,2023,1,Foodtech,Seed/Angel,Chennai,Foodtech,Foodtech
FreshTech_329,EdTech,K12,Noida,"Ribbit Capital, Ventures India",Seed,125000,2023-04-16,2023,4,Edtech,Seed/Angel,Delhi/NCR,Edtech,Edtech
FreshTech,Media,Social,Bengaluru,"Nexus Venture Partners, Omidyar Network",Seed,186000,2025-03-08,2025,3,Other,Seed/Angel,Bengaluru,Other,Other
NimbusMart,Media,Streaming,Delhi,Kedaara Capital,Seed,819000,2023-12-20,2023,12,Other,Seed/Angel,Delhi/NCR,Other,Other
BharatPe,Consumer Electronics,Wearables,Noida,"Matrix Partners India, Ventures India, Y Combinator",Series A,1040000,2024-08-11,2024,8,Other,Series A,Delhi/NCR,Other,Other
NextStack,E-commerce,Quick Commerce,Pune,"Kedaara Capital, Tiger Global",Series C,27387000,2021-07-11,2021,7,Ecommerce/D2C,Series C,Pune,Ecommerce/D2C,Ecommerce/D2C
Dunzo,Consumer Electronics,Wearables,Noida,Blume Ventures,Pre-Series A,111000,2022-10-20,2022,10,Other,Seed/Angel,Delhi/NCR,Other,Other
Zomato,AgriTech,Marketplace,Mumbai,Tiger Global,Seed,58000,2022-11-08,2022,11,Agritech,Seed/Angel,Mumbai,Agritech,Agritech
UrbanStack,Consumer Electronics,Wearables,Chennai,A91 Partners,Angel,65000,2021-01-01,2021,1,Other,Seed/Angel,Chennai,Other,Other
QuantumDrive,EdTech,Coding Bootcamp,Pune,"Falcon Edge, Y Combinator",Seed,670000,2020-06-08,2020,6,Edtech,Seed/Angel,Pune,Edtech,Edtech
Udaan,HealthTech,Diagnostics,Noida,"Mirae Asset, Tiger Global",Debt,1904000,2025-05-07,2025,5,Healthtech,Debt,Delhi/NCR,Healthtech,Healthtech
HealthAnalytics,Logistics,Supply Chain,Mumbai,Lightspeed India,Series A,1303000,2020-01-17,2020,1,Logistics,Series A,Mumbai,Logistics,Logistics
Oyo,Media,Streaming,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series A,3786000,2023-04-26,2023,4,Other,Series A,Delhi/NCR,Other,Other
HomeMart,FoodTech,Cloud Kitchen,Gurugram,"IFC, Peak XV, Sequoia Capital India",Series A,3605000,2023-07-26,2023,7,Foodtech,Series A,Delhi/NCR,Foodtech,Foodtech
UrbanSolutions,Media,Content,Mumbai,"Mirae Asset, Tiger Global",Seed,95000,2021-05-02,2021,5,Other,Seed/Angel,Mumbai,Other,Other
SmartCare,E-commerce,Quick Commerce,Gurugram,"Kedaara Capital, Y Combinator",Angel,18000,2022-11-30,2022,11,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
WorkFit,Mobility,Ride Sharing,Chennai,Info Edge,Seed,217000,2023-03-08,2023,3,EV/Cleantech,Seed/Angel,Chennai,EV/Cleantech,EV/Cleantech
LogiSense,Logistics,Supply Chain,Chennai,SoftBank Vision Fund,Series B,27576000,2024-02-15,2024,2,Logistics,Series B,Chennai,Logistics,Logistics
SkillFlow,EdTech,K12,Ahmedabad,Info Edge,Seed,521000,2020-08-04,2020,8,Edtech,Seed/Angel,Ahmedabad,Edtech,Edtech
HyperLabs,Mobility,EV,Gurugram,IFC,Series A,1131000,2022-08-06,2022,8,EV/Cleantech,Series A,Delhi/NCR,EV/Cleantech,EV/Cleantech
Bounce,HealthTech,Pharmacy,Ahmedabad,Nexus Venture Partners,Pre-Seed,47000,2024-09-07,2024,9,Healthtech,Seed/Angel,Ahmedabad,Healthtech,Healthtech
LogiMart,FoodTech,Grocery,Bengaluru,Sequoia Capital India,Series B,28352000,2021-06-16,2021,6,Foodtech,Series B,Bengaluru,Foodtech,Foodtech
CoreConnect,Mobility,Micro Mobility,Noida,Bessemer Venture Partners,Seed,320000,2022-08-04,2022,8,EV/Cleantech,Seed/Angel,Delhi/NCR,EV/Cleantech,EV/Cleantech
FinSense,FinTech,Lending,Delhi,Prosus Ventures,Seed,1178000,2022-03-31,2022,3,Fintech,Seed/Angel,Delhi/NCR,Fintech,Fintech
WorkFit,Logistics,Last Mile,Bengaluru,"Info Edge, LCatterton, Nexus Venture Partners",Debt,5995000,2021-02-08,2021,2,Logistics,Debt,Bengaluru,Logistics,Logistics
FreshBox,Consumer Electronics,Audio,Delhi,"Kalaari Capital, Prosus Ventures, Sequoia Capital India",Angel,8000,2022-06-06,2022,6,Other,Seed/Angel,Delhi/NCR,Other,Other
NoBroker,SaaS,DevTools,Delhi,Sequoia Capital India,Seed,65000,2022-07-02,2022,7,SaaS/Enterprise,Seed/Angel,Delhi/NCR,SaaS/Enterprise,SaaS/Enterprise
HomeMart,Consumer Electronics,Wearables,Noida,Y Combinator,Series A,5696000,2020-06-28,2020,6,Other,Series A,Delhi/NCR,Other,Other
QuantumDrive,Retail,Fashion,Gurugram,"Bessemer Venture Partners, Tiger Global Management",Series B,5381000,2024-06-30,2024,6,Ecommerce/D2C,Series B,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
Licious,Consumer Electronics,Smart Home,Kolkata,"Elevation Capital, SoftBank Vision Fund",Seed,434000,2023-03-04,2023,3,Other,Seed/Angel,Kolkata,Other,Other
GrowthFlow,EdTech,Test Prep,Hyderabad,"Omidyar Network, Y Combinator",Seed,1604000,2022-08-24,2022,8,Edtech,Seed/Angel,Hyderabad,Edtech,Edtech
PharmEasy,HealthTech,Telemedicine,Gurugram,"LCatterton, Zodius Capital",Series B,24655000,2021-06-29,2021,6,Healthtech,Series B,Delhi/NCR,Healthtech,Healthtech
NimbusMart,EdTech,Coding Bootcamp,Pune,Blume Ventures,Angel,16000,2024-09-27,2024,9,Edtech,Seed/Angel,Pune,Edtech,Edtech
FoodLoop,Media,Content,Ahmedabad,Peak XV,Pre-Seed,88000,2023-12-05,2023,12,FoodTech,Seed/Angel,Ahmedabad,FoodTech,Other
SmartCare,EdTech,Coding Bootcamp,Noida,Accel,Seed,271000,2022-10-01,2022,10,Edtech,Seed/Angel,Delhi/NCR,Edtech,Edtech
PharmEasy,AgriTech,Supply Chain,Bengaluru,LCatterton,Series A,4382000,2020-01-02,2020,1,Agritech,Series A,Bengaluru,Agritech,Agritech
CloudPay,SaaS,DevTools,Pune,"Kedaara Capital, Nexus Venture Partners",Seed,1612000,2020-10-29,2020,10,SaaS/Enterprise,Seed/Angel,Pune,SaaS/Enterprise,SaaS/Enterprise
FreshToHome,Enterprise,Automation,Pune,"Accel, Kalaari Capital, Peak XV",Bridge,208000,2022-02-04,2022,2,SaaS/Enterprise,Undisclosed,Pune,SaaS/Enterprise,SaaS/Enterprise
Oyo,SaaS,DevTools,Delhi,"Blume Ventures, Peak XV, Ribbit Capital",Series B,71839000,2022-06-13,2022,6,SaaS/Enterprise,Series B,Delhi/NCR,SaaS/Enterprise,SaaS/Enterprise
Licious,EdTech,K12,Chennai,Nexus Venture Partners,Seed,1411000,2023-11-11,2023,11,Edtech,Seed/Angel,Chennai,Edtech,Edtech
Rapido,Media,Streaming,Chennai,"Omidyar Network, Sequoia Capital India",Series D,78480000,2024-04-27,2024,4,Other,Late Stage,Chennai,Other,Other
HomeAnalytics,E-commerce,Fashion,Delhi,Y Combinator,Seed,65000,2020-06-08,2020,6,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
FoodLoop,E-commerce,D2C,Kolkata,Kedaara Capital,Pre-Seed,25000,2021-03-05,2021,3,Ecommerce/D2C,Seed/Angel,Kolkata,Ecommerce/D2C,Ecommerce/D2C
NextFlow,E-commerce,Quick Commerce,Bengaluru,"IFC, Tiger Global Management",Pre-Series A,104000,2024-02-09,2024,2,Ecommerce/D2C,Seed/Angel,Bengaluru,Ecommerce/D2C,Ecommerce/D2C
NimbusLabs,SaaS,MarTech,Mumbai,"Prosus Ventures, Ribbit Capital",Series C,25829000,2024-06-03,2024,6,SaaS/Enterprise,Series C,Mumbai,SaaS/Enterprise,SaaS/Enterprise
BharatPe,Consumer Electronics,Audio,Bengaluru,Peak XV,Seed,621000,2021-10-14,2021,10,Other,Seed/Angel,Bengaluru,Other,Other
Groww,SaaS,DevTools,Chennai,"Peak XV, Tiger Global Management",Seed,65000,2020-06-02,2020,6,SaaS/Enterprise,Seed/Angel,Chennai,SaaS/Enterprise,SaaS/Enterprise
BlueSpace,AgriTech,Smart Farming,Bengaluru,Omidyar Network,Series A,2372000,2023-08-31,2023,8,Agritech,Series A,Bengaluru,Agritech,Agritech
DriveEdge,E-commerce,D2C,Gurugram,"A91 Partners, Peak XV",Bridge,1129000,2022-04-18,2022,4,Ecommerce/D2C,Undisclosed,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
HealthAnalytics,E-commerce,Quick Commerce,Chennai,"Nexus Venture Partners, Y Combinator",Series A,1065000,2024-09-16,2024,9,Ecommerce/D2C,Series A,Chennai,Ecommerce/D2C,Ecommerce/D2C
DriveLoop,Enterprise,Automation,Ahmedabad,Lightspeed India,Series A,9076000,2020-07-17,2020,7,SaaS/Enterprise,Series A,Ahmedabad,SaaS/Enterprise,SaaS/Enterprise
Cars24,E-commerce,Fashion,Mumbai,"Mirae Asset, Prosus Ventures",Seed,141000,2022-03-25,2022,3,Ecommerce/D2C,Seed/Angel,Mumbai,Ecommerce/D2C,Ecommerce/D2C
Bounce,RealEstate,Rental Tech,Chennai,"Info Edge, Y Combinator",Seed,77000,2024-12-18,2024,12,Proptech,Seed/Angel,Chennai,Proptech,Proptech
CureFit,Consumer Electronics,Wearables,Hyderabad,"Tiger Global, Ventures India",Seed,653000,2021-07-04,2021,7,Other,Seed/Angel,Hyderabad,Other,Other
Wakefit,E-commerce,D2C,Noida,"Lightspeed India, Tiger Global",Pre-Series A,426000,2024-03-29,2024,3,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
UrbanDrive,FoodTech,Grocery,Kolkata,"Elevation Capital, Kalaari Capital",Series A,10764000,2021-04-27,2021,4,Foodtech,Series A,Kolkata,Foodtech,Foodtech
GreenMart,Mobility,Micro Mobility,Ahmedabad,"Blume Ventures, Tiger Global Management",Seed,753000,2025-04-28,2025,4,EV/Cleantech,Seed/Angel,Ahmedabad,EV/Cleantech,EV/Cleantech
Meesho,Retail,E-Retail,Delhi,"Info Edge, Ribbit Capital, Tiger Global Management",Pre-Seed,127000,2020-06-09,2020,6,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
Swiggy,SaaS,B2B SaaS,Mumbai,"Elevation Capital, SoftBank Vision Fund",Pre-Series A,191000,2022-03-24,2022,3,SaaS/Enterprise,Seed/Angel,Mumbai,SaaS/Enterprise,SaaS/Enterprise
LogiRise,FinTech,NeoBank,Ahmedabad,Kalaari Capital,Series A,1617000,2022-05-09,2022,5,Fintech,Series A,Ahmedabad,Fintech,Fintech
GreenConnect,AgriTech,Supply Chain,Mumbai,IFC,Series A,7635000,2020-07-25,2020,7,Agritech,Series A,Mumbai,Agritech,Agritech
FoodSolutions,Logistics,Supply Chain,Kolkata,Blume Ventures,Series A,8890000,2022-08-26,2022,8,Logistics,Series A,Kolkata,Logistics,Logistics
CoreConnect,AgriTech,Marketplace,Chennai,Prosus Ventures,Pre-Seed,196000,2024-12-26,2024,12,Agritech,Seed/Angel,Chennai,Agritech,Agritech
Postman,Media,Content,Hyderabad,Zodius Capital,Angel,17000,2020-02-11,2020,2,Other,Seed/Angel,Hyderabad,Other,Other
Oyo,Logistics,Supply Chain,Kolkata,Tiger Global Management,Series D,117757000,2023-11-03,2023,11,Logistics,Late Stage,Kolkata,Logistics,Logistics
HomeFoods,Media,Content,Pune,"Blume Ventures, Ribbit Capital",Seed,877000,2022-05-03,2022,5,FoodTech,Seed/Angel,Pune,FoodTech,Other
Meesho,Enterprise,Security,Kolkata,Zodius Capital,Series C,50332000,2024-11-11,2024,11,SaaS/Enterprise,Series C,Kolkata,SaaS/Enterprise,SaaS/Enterprise
NextSense_395,Media,Streaming,Chennai,"IFC, Sequoia Capital India",Seed,1549000,2024-10-09,2024,10,Other,Seed/Angel,Chennai,Other,Other
CloudLabs,EdTech,Test Prep,Gurugram,Kedaara Capital,Pre-Seed,144000,2020-04-13,2020,4,Edtech,Seed/Angel,Delhi/NCR,Edtech,Edtech
SkillSolutions,Consumer Electronics,Smart Home,Chennai,"Omidyar Network, Sequoia Capital India, Y Combinator",Series B,16426000,2020-09-10,2020,9,Other,Series B,Chennai,Other,Other
EduTech,Consumer Electronics,Smart Home,Noida,Ventures India,Seed,798000,2020-11-30,2020,11,Other,Seed/Angel,Delhi/NCR,Other,Other
Bounce,Logistics,Last Mile,Chennai,"Bessemer Venture Partners, Lightspeed India",Pre-Seed,114000,2024-10-14,2024,10,Logistics,Seed/Angel,Chennai,Logistics,Logistics
HomeAnalytics,RealEstate,PropTech,Hyderabad,IFC,Series B,6655000,2022-11-17,2022,11,Proptech,Series B,Hyderabad,Proptech,Proptech
MediSpace,HealthTech,Diagnostics,Ahmedabad,Omidyar Network,Series C,230417000,2021-04-03,2021,4,Healthtech,Series C,Ahmedabad,Healthtech,Healthtech
BigBasket,Media,Streaming,Hyderabad,Info Edge,Pre-Series A,320000,2022-02-10,2022,2,Other,Seed/Angel,Hyderabad,Other,Other
GreenEdge,RealEstate,Rental Tech,Ahmedabad,Falcon Edge,Pre-Series A,671000,2020-07-28,2020,7,Proptech,Seed/Angel,Ahmedabad,Proptech,Proptech
NimbusWorks,AgriTech,Marketplace,Hyderabad,"Tiger Global, Tiger Global Management",Seed,163000,2020-08-09,2020,8,Agritech,Seed/Angel,Hyderabad,Agritech,Agritech
NeoSense,Logistics,Fleet Management,Hyderabad,LCatterton,Seed,1360000,2022-11-25,2022,11,Logistics,Seed/Angel,Hyderabad,Logistics,Logistics
CoreConnect,RealEstate,PropTech,Bengaluru,LCatterton,Series B,14710000,2021-08-28,2021,8,Proptech,Series B,Bengaluru,Proptech,Proptech
CoreConnect,FinTech,NeoBank,Ahmedabad,"Kedaara Capital, Prosus Ventures, Ribbit Capital",Series C,20596000,2021-12-03,2021,12,Fintech,Series C,Ahmedabad,Fintech,Fintech
FarmBox,RealEstate,Home Services,Noida,"Accel, Blume Ventures, IFC",Seed,1411000,2020-12-14,2020,12,Proptech,Seed/Angel,Delhi/NCR,Proptech,Proptech
FreshSolutions,Media,Streaming,Delhi,Prosus Ventures,Bridge,70000,2025-01-16,2025,1,Other,Undisclosed,Delhi/NCR,Other,Other
HomeAnalytics,Media,Content,Chennai,Matrix Partners India,Series C,47487000,2021-11-09,2021,11,Other,Series C,Chennai,Other,Other
Urban Company,Consumer Electronics,Audio,Kolkata,"Omidyar Network, Ribbit Capital",Seed,1664000,2023-07-23,2023,7,Other,Seed/Angel,Kolkata,Other,Other
CoreSpace,Mobility,Ride Sharing,Chennai,IFC,Series A,13122000,2022-04-26,2022,4,EV/Cleantech,Series A,Chennai,EV/Cleantech,EV/Cleantech
WorkPay,EdTech,UpSkilling,Chennai,"IFC, Nexus Venture Partners",Debt,3529000,2025-01-02,2025,1,Edtech,Debt,Chennai,Edtech,Edtech
BlueTech,Consumer Electronics,Wearables,Delhi,Info Edge,Seed,514000,2020-04-28,2020,4,Other,Seed/Angel,Delhi/NCR,Other,Other
FarmTech,HealthTech,Diagnostics,Kolkata,Nexus Venture Partners,Series C,67366000,2024-05-15,2024,5,Healthtech,Series C,Kolkata,Healthtech,Healthtech
DriveEdge,FoodTech,Food Delivery,Kolkata,"Lightspeed India, Y Combinator",Pre-Series A,196000,2020-03-18,2020,3,Foodtech,Seed/Angel,Kolkata,Foodtech,Foodtech
UrbanStack,Retail,Fashion,Gurugram,"IFC, Lightspeed India, Ventures India",Pre-Seed,43000,2020-01-09,2020,1,Ecommerce/D2C,Seed/Angel,Delhi/NCR,Ecommerce/D2C,Ecommerce/D2C
FreshTech,FoodTech,Grocery,Ahmedabad,Elevation Capital,Seed,598000,2020-05-13,2020,5,Foodtech,Seed/Angel,Ahmedabad,Foodtech,Foodtech
Cars24,Consumer Electronics,Smart Home,Noida,"LCatterton, Tiger Global Management",Series A,7671000,2021-11-22,2021,11,Other,Series A,Delhi/NCR,Other,Other
DataHive,Consumer Electronics,Wearables,Gurugram,"Lightspeed India, Sequoia Capital India",Seed,927000,2025-01-31,2025,1,Other,Seed/Angel,Delhi/NCR,Other,Other
LogiSense,FinTech,NeoBank,Noida,"IFC, Ribbit Capital, Sequoia Capital India",Seed,920000,2022-01-20,2022,1,Fintech,Seed/Angel,Delhi/NCR,Fintech,Fintech
CloudSolutions,AgriTech,Supply Chain,Ahmedabad,Ribbit Capital,Debt,176000,2023-09-17,2023,9,Agritech,Debt,Ahmedabad,Agritech,Agritech
DataAnalytics_423,E-commerce,Fashion,Kolkata,Mirae Asset,Pre-Series A,312000,2023-01-25,2023,1,Ecommerce/D2C,Seed/Angel,Kolkata,Ecommerce/D2C,Ecommerce/D2C
HyperLoop,RealEstate,Rental Tech,Bengaluru,Prosus Ventures,Seed,62000,2023-09-17,2023,9,Proptech,Seed/Angel,Bengaluru,Proptech,Proptech
SkillFlow,Media,Social,Chennai,"Kedaara Capital, Nexus Venture Partners",Series D,177214000,2020-08-02,2020,8,Other,Late Stage,Chennai,Other,Other
Porter,Retail,E-Retail,Kolkata,Zodius Capital,Seed,255000,2021-02-13,2021,2,Ecommerce/D2C,Seed/Angel,Kolkata,Ecommerce/D2C,Ecommerce/D2C
CloudPay,FoodTech,Food Delivery,Delhi,Prosus Ventures,Pre-Seed,154000,2022-10-13,2022,10,Foodtech,Seed/Angel,Delhi/NCR,Foodtech,Foodtech
AgriHive,FinTech,Payments,Mumbai,"Nexus Venture Partners, Prosus Ventures",Angel,14000,2024-09-06,2024,9,Fintech,Seed/Angel,Mumbai,Fintech,Fintech
Bounce,Retail,Fashion,Mumbai,Ribbit Capital,Series B,6917000,2020-07-26,2020,7,Ecommerce/D2C,Series B,Mumbai,Ecommerce/D2C,Ecommerce/D2C
AutoFlow,Logistics,Supply Chain,Kolkata,IFC,Seed,85000,2024-07-23,2024,7,Logistics,Seed/Angel,Kolkata,Logistics,Logistics
Cars24,SaaS,HRTech,Chennai,Sequoia Capital India,Series B,41297000,2020-07-13,2020,7,SaaS/Enterprise,Series B,Chennai,SaaS/Enterprise,SaaS/Enterprise
FinSense,HealthTech,Pharmacy,Pune,"Matrix Partners India, Ventures India",Angel,32000,2025-05-10,2025,5,Healthtech,Seed/Angel,Pune,Healthtech,Healthtech
NimbusWorks,HealthTech,Telemedicine,Chennai,Zodius Capital,Pre-Series A,126000,2022-07-23,2022,7,Healthtech,Seed/Angel,Chennai,Healthtech,Healthtech
GrowthCare,RealEstate,PropTech,Mumbai,Tiger Global Management,Seed,68000,2024-01-27,2024,1,Proptech,Seed/Angel,Mumbai,Proptech,Proptech
NextSense,AgriTech,Smart Farming,Ahmedabad,Y Combinator,Series B,34916000,2021-01-06,2021,1,Agritech,Series B,Ahmedabad,Agritech,Agritech
ClearTax,Enterprise,Automation,Delhi,LCatterton,Series A,1218000,2022-09-26,2022,9,SaaS/Enterprise,Series A,Delhi/NCR,SaaS/Enterprise,SaaS/Enterprise
Dailyhunt,FinTech,Payments,Hyderabad,"Falcon Edge, IFC, Ventures India",Series B,48819000,2020-01-26,2020,1,Fintech,Series B,Hyderabad,Fintech,Fintech
Zepto,RealEstate,Home Services,Noida,"Accel, Prosus Ventures",Series A,6770000,2023-12-05,2023,12,Proptech,Series A,Delhi/NCR,Proptech,Proptech
LogiMart,RealEstate,Rental Tech,Chennai,"LCatterton, Omidyar Network",Seed,67000,2024-08-19,2024,8,Proptech,Seed/Angel,Chennai,Proptech,Proptech
MediSpace,HealthTech,Health Analytics,Kolkata,SoftBank Vision Fund,Growth,62547000,2020-06-02,2020,6,Healthtech,Late Stage,Kolkata,Healthtech,Healthtech
QuantumSolutions_441,EdTech,Coding Bootcamp,Chennai,"A91 Partners, Info Edge",Series C,289340000,2020-06-10,2020,6,Edtech,Series C,Chennai,Edtech,Edtech
Unacademy,Enterprise,Security,Kolkata,"Accel, Kalaari Capital, Ribbit Capital",Seed,199000,2022-10-15,2022,10,SaaS/Enterprise,Seed/Angel,Kolkata,SaaS/Enterprise,SaaS/Enterprise
Rapido,Enterprise,Analytics,Ahmedabad,LCatterton,Bridge,196000,2023-07-29,2023,7,SaaS/Enterprise,Undisclosed,Ahmedabad,SaaS/Enterprise,SaaS/Enterprise
CoreFlow,Consumer Electronics,Wearables,Pune,Zodius Capital,Series C,180699000,2024-07-30,2024,7,Other,Series C,Pune,Other,Other
FreshBox,AgriTech,Marketplace,Kolkata,"Accel, Info Edge, Prosus Ventures",Series B,69115000,2022-01-14,2022,1,Agritech,Series B,Kolkata,Agritech,Agritech
Rapido,SaaS,HRTech,Hyderabad,"Accel, LCatterton, Mirae Asset",Series A,14442000,2022-02-04,2022,2,SaaS/Enterprise,Series A,Hyderabad,SaaS/Enterprise,SaaS/Enterprise
Freshworks,E-commerce,D2C,Ahmedabad,"Lightspeed India, Zodius Capital",Seed,805000,2020-09-04,2020,9,Ecommerce/D2C,Seed/Angel,Ahmedabad,Ecommerce/D2C,Ecommerce/D2C
FinFoods,E-commerce,Fashion,Bengaluru,"Bessemer Venture Partners, Info Edge, Omidyar Network",Angel,15000,2024-09-11,2024,9,Ecommerce/D2C,Seed/Angel,Bengaluru,Ecommerce/D2C,Ecommerce/D2C
ClearDekho,HealthTech,Health Analytics,Bengaluru,"Peak XV, Zodius Capital",Series A,1254000,2020-04-09,2020,4,Healthtech,Series A,Bengaluru,Healthtech,Healthtech
AgriHive,Retail,E-Retail,Ahmedabad,Accel,Seed,879000,2024-07-27,2024,7,Ecommerce/D2C,Seed/Angel,Ahmedabad,Ecommerce/D2C,Ecommerce/D2C
AgriSense,FoodTech,Food Delivery,Ahmedabad,Elevation Capital,Angel,27000,2024-04-10,2024,4,Foodtech,Seed/Angel,Ahmedabad,Foodtech,Foodtech
DataHive,Consumer Electronics,Audio,Delhi,"A91 Partners, Falcon Edge, Zodius Capital",Pre-Series A,266000,2023-12-04,2023,12,Other,Seed/Angel,Delhi/NCR,Other,Other
HyperLabs,Mobility,Micro Mobility,Gurugram,"Elevation Capital, Prosus Ventures, SoftBank Vision Fund",Seed,1416000,2023-07-02,2023,7,EV/Cleantech,Seed/Angel,Delhi/NCR,EV/Cleantech,EV/Cleantech
EduTech,Media,Streaming,Pune,A91 Partners,Series B,6806000,2024-04-07,2024,4,Other,Series B,Pune,Other,Other
SkillRise,Enterprise,Automation,Hyderabad,Falcon Edge,Growth,183477000,2022-05-15,2022,5,SaaS/Enterprise,Late Stage,Hyderabad,SaaS/Enterprise,SaaS/Enterprise
